day,vix1d_anchor,snap_pt,side,target_delta,D,spot,half_day
2025-10-07,8.65,06:35,p,0.1,2.5198,6753.65,0
2025-10-07,8.65,06:35,p,0.15,1.781,6753.65,0
2025-10-07,8.65,06:35,p,0.2,1.4558,6753.65,0
2025-10-07,8.65,06:35,p,0.25,1.1229,6753.65,0
2025-10-07,8.65,06:35,p,0.3,0.8415,6753.65,0
2025-10-07,8.65,06:35,c,0.05,2.2956,6753.65,0
2025-10-07,8.65,06:35,c,0.1,1.7732,6753.65,0
2025-10-07,8.65,06:35,c,0.15,1.3235,6753.65,0
2025-10-07,8.65,06:35,c,0.2,1.1348,6753.65,0
2025-10-07,8.65,06:35,c,0.25,0.9439,6753.65,0
2025-10-07,8.65,06:35,c,0.3,0.7504,6753.65,0
2025-10-07,8.65,08:00,p,0.05,3.2615,6732.71,0
2025-10-07,8.65,08:00,p,0.1,2.2254,6732.71,0
2025-10-07,8.65,08:00,p,0.15,1.715,6732.71,0
2025-10-07,8.65,08:00,p,0.2,1.3506,6732.71,0
2025-10-07,8.65,08:00,p,0.25,1.0532,6732.71,0
2025-10-07,8.65,08:00,p,0.3,0.7989,6732.71,0
2025-10-07,8.65,08:00,c,0.05,2.2745,6732.71,0
2025-10-07,8.65,08:00,c,0.1,1.7526,6732.71,0
2025-10-07,8.65,08:00,c,0.15,1.3893,6732.71,0
2025-10-07,8.65,08:00,c,0.2,1.1302,6732.71,0
2025-10-07,8.65,08:00,c,0.25,0.9102,6732.71,0
2025-10-07,8.65,08:00,c,0.3,0.7214,6732.71,0
2025-10-07,8.65,10:00,p,0.05,5.2865,6707.23,0
2025-10-07,8.65,10:00,p,0.1,3.3178,6707.23,0
2025-10-07,8.65,10:00,p,0.15,2.376,6707.23,0
2025-10-07,8.65,10:00,p,0.2,1.8288,6707.23,0
2025-10-07,8.65,10:00,p,0.25,1.4118,6707.23,0
2025-10-07,8.65,10:00,p,0.3,1.0723,6707.23,0
2025-10-07,8.65,10:00,c,0.05,3.1994,6707.23,0
2025-10-07,8.65,10:00,c,0.1,2.4098,6707.23,0
2025-10-07,8.65,10:00,c,0.15,1.9454,6707.23,0
2025-10-07,8.65,10:00,c,0.2,1.5712,6707.23,0
2025-10-07,8.65,10:00,c,0.25,1.2972,6707.23,0
2025-10-07,8.65,10:00,c,0.3,1.0246,6707.23,0
2025-10-07,8.65,12:00,p,0.05,3.7564,6714.4,0
2025-10-07,8.65,12:00,p,0.1,2.4907,6714.4,0
2025-10-07,8.65,12:00,p,0.15,1.9437,6714.4,0
2025-10-07,8.65,12:00,p,0.2,1.5013,6714.4,0
2025-10-07,8.65,12:00,p,0.25,1.2201,6714.4,0
2025-10-07,8.65,12:00,p,0.3,0.9389,6714.4,0
2025-10-07,8.65,12:00,c,0.05,3.1291,6714.4,0
2025-10-07,8.65,12:00,c,0.1,2.2728,6714.4,0
2025-10-07,8.65,12:00,c,0.15,1.7354,6714.4,0
2025-10-07,8.65,12:00,c,0.2,1.4189,6714.4,0
2025-10-07,8.65,12:00,c,0.25,1.1141,6714.4,0
2025-10-07,8.65,12:00,c,0.3,0.8376,6714.4,0
2025-09-23,8.9,06:35,p,0.05,3.403,6695.76,0
2025-09-23,8.9,06:35,p,0.1,2.2998,6695.76,0
2025-09-23,8.9,06:35,p,0.15,1.7273,6695.76,0
2025-09-23,8.9,06:35,p,0.2,1.358,6695.76,0
2025-09-23,8.9,06:35,p,0.25,1.0209,6695.76,0
2025-09-23,8.9,06:35,p,0.3,0.7785,6695.76,0
2025-09-23,8.9,06:35,c,0.05,2.4101,6695.76,0
2025-09-23,8.9,06:35,c,0.1,1.7128,6695.76,0
2025-09-23,8.9,06:35,c,0.15,1.3439,6695.76,0
2025-09-23,8.9,06:35,c,0.2,1.0933,6695.76,0
2025-09-23,8.9,06:35,c,0.25,0.885,6695.76,0
2025-09-23,8.9,06:35,c,0.3,0.6998,6695.76,0
2025-09-23,8.9,08:00,p,0.05,3.0882,6689.07,0
2025-09-23,8.9,08:00,p,0.1,2.0978,6689.07,0
2025-09-23,8.9,08:00,p,0.15,1.5951,6689.07,0
2025-09-23,8.9,08:00,p,0.2,1.2364,6689.07,0
2025-09-23,8.9,08:00,p,0.25,0.9478,6689.07,0
2025-09-23,8.9,08:00,p,0.3,0.7166,6689.07,0
2025-09-23,8.9,08:00,c,0.05,2.2889,6689.07,0
2025-09-23,8.9,08:00,c,0.1,1.712,6689.07,0
2025-09-23,8.9,08:00,c,0.15,1.3296,6689.07,0
2025-09-23,8.9,08:00,c,0.2,1.053,6689.07,0
2025-09-23,8.9,08:00,c,0.25,0.8379,6689.07,0
2025-09-23,8.9,08:00,c,0.3,0.6511,6689.07,0
2025-09-23,8.9,10:00,p,0.05,3.4406,6678.08,0
2025-09-23,8.9,10:00,p,0.1,2.3825,6678.08,0
2025-09-23,8.9,10:00,p,0.15,1.8196,6678.08,0
2025-09-23,8.9,10:00,p,0.2,1.4221,6678.08,0
2025-09-23,8.9,10:00,p,0.25,1.1004,6678.08,0
2025-09-23,8.9,10:00,p,0.3,0.8367,6678.08,0
2025-09-23,8.9,10:00,c,0.05,2.6987,6678.08,0
2025-09-23,8.9,10:00,c,0.1,1.9601,6678.08,0
2025-09-23,8.9,10:00,c,0.15,1.5508,6678.08,0
2025-09-23,8.9,10:00,c,0.2,1.264,6678.08,0
2025-09-23,8.9,10:00,c,0.25,1.0048,6678.08,0
2025-09-23,8.9,10:00,c,0.3,0.7872,6678.08,0
2025-09-23,8.9,12:00,p,0.05,5.6995,6647.08,0
2025-09-23,8.9,12:00,p,0.1,3.177,6647.08,0
2025-09-23,8.9,12:00,p,0.15,2.3668,6647.08,0
2025-09-23,8.9,12:00,p,0.2,1.8388,6647.08,0
2025-09-23,8.9,12:00,p,0.25,1.4607,6647.08,0
2025-09-23,8.9,12:00,p,0.3,1.0922,6647.08,0
2025-09-23,8.9,12:00,c,0.05,3.3431,6647.08,0
2025-09-23,8.9,12:00,c,0.1,2.556,6647.08,0
2025-09-23,8.9,12:00,c,0.15,1.997,6647.08,0
2025-09-23,8.9,12:00,c,0.2,1.6428,6647.08,0
2025-09-23,8.9,12:00,c,0.25,1.2887,6647.08,0
2025-09-23,8.9,12:00,c,0.3,1.0156,6647.08,0
2026-06-03,9.08,06:35,p,0.05,3.9568,7598.53,0
2026-06-03,9.08,06:35,p,0.1,2.7471,7598.53,0
2026-06-03,9.08,06:35,p,0.15,2.0676,7598.53,0
2026-06-03,9.08,06:35,p,0.2,1.6135,7598.53,0
2026-06-03,9.08,06:35,p,0.25,1.252,7598.53,0
2026-06-03,9.08,06:35,p,0.3,0.9541,7598.53,0
2026-06-03,9.08,06:35,c,0.05,2.3477,7598.53,0
2026-06-03,9.08,06:35,c,0.1,1.8155,7598.53,0
2026-06-03,9.08,06:35,c,0.15,1.4624,7598.53,0
2026-06-03,9.08,06:35,c,0.2,1.2082,7598.53,0
2026-06-03,9.08,06:35,c,0.25,0.9604,7598.53,0
2026-06-03,9.08,06:35,c,0.3,0.7498,7598.53,0
2026-06-03,9.08,08:00,p,0.05,3.2808,7577.31,0
2026-06-03,9.08,08:00,p,0.1,2.2268,7577.31,0
2026-06-03,9.08,08:00,p,0.15,1.69,7577.31,0
2026-06-03,9.08,08:00,p,0.2,1.3391,7577.31,0
2026-06-03,9.08,08:00,p,0.25,1.0733,7577.31,0
2026-06-03,9.08,08:00,p,0.3,0.7834,7577.31,0
2026-06-03,9.08,08:00,c,0.05,2.6119,7577.31,0
2026-06-03,9.08,08:00,c,0.1,1.9167,7577.31,0
2026-06-03,9.08,08:00,c,0.15,1.551,7577.31,0
2026-06-03,9.08,08:00,c,0.2,1.245,7577.31,0
2026-06-03,9.08,08:00,c,0.25,0.9941,7577.31,0
2026-06-03,9.08,08:00,c,0.3,0.7916,7577.31,0
2026-06-03,9.08,10:00,p,0.05,2.9901,7567.06,0
2026-06-03,9.08,10:00,p,0.1,2.1342,7567.06,0
2026-06-03,9.08,10:00,p,0.15,1.5869,7567.06,0
2026-06-03,9.08,10:00,p,0.2,1.2559,7567.06,0
2026-06-03,9.08,10:00,p,0.25,0.9373,7567.06,0
2026-06-03,9.08,10:00,p,0.3,0.7363,7567.06,0
2026-06-03,9.08,10:00,c,0.05,2.9636,7567.06,0
2026-06-03,9.08,10:00,c,0.1,2.1214,7567.06,0
2026-06-03,9.08,10:00,c,0.15,1.5697,7567.06,0
2026-06-03,9.08,10:00,c,0.2,1.2616,7567.06,0
2026-06-03,9.08,10:00,c,0.25,1.026,7567.06,0
2026-06-03,9.08,10:00,c,0.3,0.7941,7567.06,0
2026-06-03,9.08,12:00,p,0.05,2.5412,7571.96,0
2026-06-03,9.08,12:00,p,0.1,1.8619,7571.96,0
2026-06-03,9.08,12:00,p,0.15,1.4295,7571.96,0
2026-06-03,9.08,12:00,p,0.2,1.1144,7571.96,0
2026-06-03,9.08,12:00,p,0.25,0.8613,7571.96,0
2026-06-03,9.08,12:00,p,0.3,0.6781,7571.96,0
2026-06-03,9.08,12:00,c,0.05,2.5619,7571.96,0
2026-06-03,9.08,12:00,c,0.1,1.7327,7571.96,0
2026-06-03,9.08,12:00,c,0.15,1.4192,7571.96,0
2026-06-03,9.08,12:00,c,0.2,1.1057,7571.96,0
2026-06-03,9.08,12:00,c,0.25,0.9028,7571.96,0
2026-06-03,9.08,12:00,c,0.3,0.7041,7571.96,0
2025-08-13,9.28,06:35,p,0.05,3.7202,6470.14,0
2025-08-13,9.28,06:35,p,0.1,2.5632,6470.14,0
2025-08-13,9.28,06:35,p,0.15,1.9641,6470.14,0
2025-08-13,9.28,06:35,p,0.2,1.46,6470.14,0
2025-08-13,9.28,06:35,p,0.25,1.1253,6470.14,0
2025-08-13,9.28,06:35,p,0.3,0.8406,6470.14,0
2025-08-13,9.28,06:35,c,0.05,2.327,6470.14,0
2025-08-13,9.28,06:35,c,0.1,1.7247,6470.14,0
2025-08-13,9.28,06:35,c,0.15,1.4037,6470.14,0
2025-08-13,9.28,06:35,c,0.2,1.1502,6470.14,0
2025-08-13,9.28,06:35,c,0.25,0.9412,6470.14,0
2025-08-13,9.28,06:35,c,0.3,0.7409,6470.14,0
2025-08-13,9.28,08:00,p,0.05,3.812,6456.08,0
2025-08-13,9.28,08:00,p,0.1,2.4505,6456.08,0
2025-08-13,9.28,08:00,p,0.15,1.8577,6456.08,0
2025-08-13,9.28,08:00,p,0.2,1.3911,6456.08,0
2025-08-13,9.28,08:00,p,0.25,1.1224,6456.08,0
2025-08-13,9.28,08:00,p,0.3,0.8307,6456.08,0
2025-08-13,9.28,08:00,c,0.05,2.4753,6456.08,0
2025-08-13,9.28,08:00,c,0.1,1.8262,6456.08,0
2025-08-13,9.28,08:00,c,0.15,1.4522,6456.08,0
2025-08-13,9.28,08:00,c,0.2,1.1722,6456.08,0
2025-08-13,9.28,08:00,c,0.25,0.9328,6456.08,0
2025-08-13,9.28,08:00,c,0.3,0.737,6456.08,0
2025-08-13,9.28,10:00,p,0.05,3.441,6447.77,0
2025-08-13,9.28,10:00,p,0.1,2.3815,6447.77,0
2025-08-13,9.28,10:00,p,0.15,1.7378,6447.77,0
2025-08-13,9.28,10:00,p,0.2,1.3783,6447.77,0
2025-08-13,9.28,10:00,p,0.25,1.0981,6447.77,0
2025-08-13,9.28,10:00,p,0.3,0.8478,6447.77,0
2025-08-13,9.28,10:00,c,0.05,2.3774,6447.77,0
2025-08-13,9.28,10:00,c,0.1,1.6517,6447.77,0
2025-08-13,9.28,10:00,c,0.15,1.3271,6447.77,0
2025-08-13,9.28,10:00,c,0.2,1.065,6447.77,0
2025-08-13,9.28,10:00,c,0.25,0.8853,6447.77,0
2025-08-13,9.28,10:00,c,0.3,0.7056,6447.77,0
2025-08-13,9.28,12:00,p,0.05,3.3967,6458.08,0
2025-08-13,9.28,12:00,p,0.1,2.3477,6458.08,0
2025-08-13,9.28,12:00,p,0.15,1.8321,6458.08,0
2025-08-13,9.28,12:00,p,0.2,1.4432,6458.08,0
2025-08-13,9.28,12:00,p,0.25,1.1288,6458.08,0
2025-08-13,9.28,12:00,p,0.3,0.8794,6458.08,0
2025-08-13,9.28,12:00,c,0.05,2.7551,6458.08,0
2025-08-13,9.28,12:00,c,0.1,1.9099,6458.08,0
2025-08-13,9.28,12:00,c,0.15,1.5457,6458.08,0
2025-08-13,9.28,12:00,c,0.2,1.2097,6458.08,0
2025-08-13,9.28,12:00,c,0.25,0.9573,6458.08,0
2025-08-13,9.28,12:00,c,0.3,0.7571,6458.08,0
2025-07-11,9.39,06:35,p,0.05,4.3192,6247.99,0
2025-07-11,9.39,06:35,p,0.1,3.0249,6247.99,0
2025-07-11,9.39,06:35,p,0.15,2.3368,6247.99,0
2025-07-11,9.39,06:35,p,0.2,1.8636,6247.99,0
2025-07-11,9.39,06:35,p,0.25,1.4458,6247.99,0
2025-07-11,9.39,06:35,p,0.3,1.0898,6247.99,0
2025-07-11,9.39,06:35,c,0.05,3.0015,6247.99,0
2025-07-11,9.39,06:35,c,0.1,2.3046,6247.99,0
2025-07-11,9.39,06:35,c,0.15,1.8731,6247.99,0
2025-07-11,9.39,06:35,c,0.2,1.5485,6247.99,0
2025-07-11,9.39,06:35,c,0.25,1.2602,6247.99,0
2025-07-11,9.39,06:35,c,0.3,0.9912,6247.99,0
2025-07-11,9.39,08:00,p,0.05,3.5095,6260.12,0
2025-07-11,9.39,08:00,p,0.1,2.5407,6260.12,0
2025-07-11,9.39,08:00,p,0.15,1.93,6260.12,0
2025-07-11,9.39,08:00,p,0.2,1.4827,6260.12,0
2025-07-11,9.39,08:00,p,0.25,1.1736,6260.12,0
2025-07-11,9.39,08:00,p,0.3,0.8872,6260.12,0
2025-07-11,9.39,08:00,c,0.05,2.7348,6260.12,0
2025-07-11,9.39,08:00,c,0.1,2.0264,6260.12,0
2025-07-11,9.39,08:00,c,0.15,1.626,6260.12,0
2025-07-11,9.39,08:00,c,0.2,1.3209,6260.12,0
2025-07-11,9.39,08:00,c,0.25,1.069,6260.12,0
2025-07-11,9.39,08:00,c,0.3,0.8491,6260.12,0
2025-07-11,9.39,10:00,p,0.05,3.7897,6264.84,0
2025-07-11,9.39,10:00,p,0.1,2.653,6264.84,0
2025-07-11,9.39,10:00,p,0.15,1.9974,6264.84,0
2025-07-11,9.39,10:00,p,0.2,1.5536,6264.84,0
2025-07-11,9.39,10:00,p,0.25,1.2028,6264.84,0
2025-07-11,9.39,10:00,p,0.3,0.8986,6264.84,0
2025-07-11,9.39,10:00,c,0.05,2.4818,6264.84,0
2025-07-11,9.39,10:00,c,0.1,1.8162,6264.84,0
2025-07-11,9.39,10:00,c,0.15,1.4763,6264.84,0
2025-07-11,9.39,10:00,c,0.2,1.205,6264.84,0
2025-07-11,9.39,10:00,c,0.25,0.9561,6264.84,0
2025-07-11,9.39,10:00,c,0.3,0.7576,6264.84,0
2025-07-11,9.39,12:00,p,0.05,4.3856,6264.75,0
2025-07-11,9.39,12:00,p,0.1,2.6252,6264.75,0
2025-07-11,9.39,12:00,p,0.15,2.0417,6264.75,0
2025-07-11,9.39,12:00,p,0.2,1.5832,6264.75,0
2025-07-11,9.39,12:00,p,0.25,1.2562,6264.75,0
2025-07-11,9.39,12:00,p,0.3,0.9391,6264.75,0
2025-07-11,9.39,12:00,c,0.05,2.5751,6264.75,0
2025-07-11,9.39,12:00,c,0.1,1.8956,6264.75,0
2025-07-11,9.39,12:00,c,0.15,1.4881,6264.75,0
2025-07-11,9.39,12:00,c,0.2,1.2286,6264.75,0
2025-07-11,9.39,12:00,c,0.25,0.9691,6264.75,0
2025-07-11,9.39,12:00,c,0.3,0.7449,6264.75,0
2026-02-03,9.62,06:35,p,0.05,4.326,6983.77,0
2026-02-03,9.62,06:35,p,0.1,2.9645,6983.77,0
2026-02-03,9.62,06:35,p,0.15,2.2331,6983.77,0
2026-02-03,9.62,06:35,p,0.2,1.7186,6983.77,0
2026-02-03,9.62,06:35,p,0.25,1.3029,6983.77,0
2026-02-03,9.62,06:35,p,0.3,1.0228,6983.77,0
2026-02-03,9.62,06:35,c,0.05,2.412,6983.77,0
2026-02-03,9.62,06:35,c,0.1,1.9011,6983.77,0
2026-02-03,9.62,06:35,c,0.15,1.5675,6983.77,0
2026-02-03,9.62,06:35,c,0.2,1.3039,6983.77,0
2026-02-03,9.62,06:35,c,0.25,1.0765,6983.77,0
2026-02-03,9.62,06:35,c,0.3,0.8551,6983.77,0
2026-02-03,9.62,08:00,p,0.05,4.6296,6953.38,0
2026-02-03,9.62,08:00,p,0.1,3.13,6953.38,0
2026-02-03,9.62,08:00,p,0.15,2.358,6953.38,0
2026-02-03,9.62,08:00,p,0.2,1.8555,6953.38,0
2026-02-03,9.62,08:00,p,0.25,1.4081,6953.38,0
2026-02-03,9.62,08:00,p,0.3,1.0836,6953.38,0
2026-02-03,9.62,08:00,c,0.05,3.1701,6953.38,0
2026-02-03,9.62,08:00,c,0.1,2.3899,6953.38,0
2026-02-03,9.62,08:00,c,0.15,1.9201,6953.38,0
2026-02-03,9.62,08:00,c,0.2,1.5575,6953.38,0
2026-02-03,9.62,08:00,c,0.25,1.2584,6953.38,0
2026-02-03,9.62,08:00,c,0.3,0.9911,6953.38,0
2026-02-03,9.62,10:00,p,0.05,6.0476,6898.63,0
2026-02-03,9.62,10:00,p,0.1,4.2685,6898.63,0
2026-02-03,9.62,10:00,p,0.15,3.4094,6898.63,0
2026-02-03,9.62,10:00,p,0.2,2.7509,6898.63,0
2026-02-03,9.62,10:00,p,0.25,2.1594,6898.63,0
2026-02-03,9.62,10:00,p,0.3,1.6545,6898.63,0
2026-02-03,9.62,10:00,c,0.05,4.3204,6898.63,0
2026-02-03,9.62,10:00,c,0.1,3.2516,6898.63,0
2026-02-03,9.62,10:00,c,0.15,2.5898,6898.63,0
2026-02-03,9.62,10:00,c,0.2,2.0939,6898.63,0
2026-02-03,9.62,10:00,c,0.25,1.6761,6898.63,0
2026-02-03,9.62,10:00,c,0.3,1.285,6898.63,0
2026-02-03,9.62,12:00,p,0.05,6.0996,6890.52,0
2026-02-03,9.62,12:00,p,0.1,4.4087,6890.52,0
2026-02-03,9.62,12:00,p,0.15,3.4454,6890.52,0
2026-02-03,9.62,12:00,p,0.2,2.7644,6890.52,0
2026-02-03,9.62,12:00,p,0.25,2.181,6890.52,0
2026-02-03,9.62,12:00,p,0.3,1.6814,6890.52,0
2026-02-03,9.62,12:00,c,0.05,5.7047,6890.52,0
2026-02-03,9.62,12:00,c,0.1,4.2738,6890.52,0
2026-02-03,9.62,12:00,c,0.15,3.393,6890.52,0
2026-02-03,9.62,12:00,c,0.2,2.7474,6890.52,0
2026-02-03,9.62,12:00,c,0.25,2.2229,6890.52,0
2026-02-03,9.62,12:00,c,0.3,1.7432,6890.52,0
2025-10-09,9.71,06:35,p,0.05,3.9605,6757.07,0
2025-10-09,9.71,06:35,p,0.1,2.2642,6757.07,0
2025-10-09,9.71,06:35,p,0.15,1.729,6757.07,0
2025-10-09,9.71,06:35,p,0.2,1.31,6757.07,0
2025-10-09,9.71,06:35,p,0.25,0.9563,6757.07,0
2025-10-09,9.71,06:35,p,0.3,0.7147,6757.07,0
2025-10-09,9.71,06:35,c,0.05,1.8374,6757.07,0
2025-10-09,9.71,06:35,c,0.1,1.57,6757.07,0
2025-10-09,9.71,06:35,c,0.15,1.2852,6757.07,0
2025-10-09,9.71,06:35,c,0.2,1.0545,6757.07,0
2025-10-09,9.71,06:35,c,0.25,0.8632,6757.07,0
2025-10-09,9.71,06:35,c,0.3,0.6859,6757.07,0
2025-10-09,9.71,08:00,p,0.05,3.2524,6737.16,0
2025-10-09,9.71,08:00,p,0.1,2.2673,6737.16,0
2025-10-09,9.71,08:00,p,0.15,1.695,6737.16,0
2025-10-09,9.71,08:00,p,0.2,1.3296,6737.16,0
